;B1;B2;B3;B4;B5;B6
X276_13545;1062.770166;376.0281389;281.9661498;254.1830937;236.5260186;270.231079
X276_13540;131.0974413;306.3795772;275.0573314;160.3915025;218.6073809;265.5085941
X276_13535;225.4046916;445.3062295;903.7598032;933.5810061;405.8571456;434.9933291
X276_13530;111.9250882;135.9628837;175.7430673;251.0304352;165.4487555;157.9408831
X276_13525;187.3190713;406.0362958;424.8923298;395.2645627;352.6985202;313.2581634
X276_13520;69.95318014;155.9683216;216.3323752;297.1380661;244.2907617;257.1130654
X276_13515;18.91326722;31.11957012;47.06632515;45.31946632;55.24913314;63.49118555
X276_13505;178.7692381;330.4601969;303.3403066;210.0458743;236.2273747;306.4367964
X276_13500;28.49944376;38.52899157;60.0203596;89.45668569;148.7246935;326.3761769
X276_13495;2469.347259;3117.143607;3214.975449;3268.715768;4358.708639;3844.627409
X276_13490;27.46310035;33.71286762;28.06707463;42.16680779;41.21286688;57.71925959
X276_13485;23.57681257;28.89674368;25.0444666;27.97984442;28.07253252;50.89789254
X276_13480;343.8069261;401.961114;405.8930793;270.1434275;189.9375604;340.5436316
X276_13475;32.12664569;48.53171054;34.75999243;11.42838716;30.16304026;42.50236388
X276_13470;335.5161788;168.1938671;387.9733317;1582.240498;1724.071598;991.1971033
X276_13465;126.9520677;155.5978506;396.6093546;707.574798;2705.41566;3264.81121
X276_13460;106.2251995;131.1467598;309.6014233;674.0778012;2202.200583;2851.856144
X276_13455;55.96254411;51.49547912;329.8960772;906.5863675;596.09335;369.9279819
X276_13450;66.06689235;37.78804943;216.3323752;545.2128839;680.6095915;510.0283665
X276_13445;184.4691269;119.2916854;854.5344723;1906.964326;1705.854316;925.6070356
X276_13440;1354.759922;1921.633455;2393.473764;3437.974123;35890.73282;73597.8279
X276_13435;2358.458514;2525.130832;2419.381833;6701.36978;41490.00848;73349.11036
X276_13430;105.4479419;52.97736341;46.63452401;397.6290566;1701.673301;1765.684623
X276_13425;229.5500652;180.4194125;140.7671743;876.8331526;3310.468329;3367.656437
X276_13415;131.0974413;258.5888088;329.8960772;453.5887455;11853.17889;25603.21411
X276_13410;688.6501956;631.282708;719.1648123;2264.002904;10060.12054;12321.48776
X276_13405;119.6976638;92.24729713;64.77017223;346.0042733;2078.263338;2123.019312
X276_27055;160.1150568;109.6594375;78.80370955;440.3869879;2491.885227;2193.331864
X276_13390;329.0390325;104.8433136;403.0863718;1281.752732;1632.985189;553.0554509
X276_13385;339.1433808;125.2192226;472.8222573;1231.507237;1884.144762;740.3806843
X276_13380;258.049509;82.98552031;383.223519;1069.933487;1380.033753;516.8497336
X276_13375;258.049509;91.13588391;417.1199092;1188.355223;1453.798812;503.2069995
X276_13370;32.90390325;21.48732222;25.47626774;74.08747537;563.2425141;771.8639168
X276_13365;110.3705731;83.35599138;97.15525835;283.5422262;2145.756874;2735.368184
X276_13360;691.7592258;208.2047429;201.6511362;2883.500305;9699.657272;6199.5732
X276_13355;688.1320239;236.3605444;215.6846735;2405.084373;7576.895984;4633.807104
X276_13350;2078.645794;1144.385144;695.1998486;8534.640713;21274.20134;16351.34152
X276_13345;122.2885223;77.42845421;110.5410939;362.1616482;1640.451288;2381.181818
X276_13340;139.3881886;151.1521977;153.2894076;417.7272547;2219.521933;3546.586141
X276_13335;545.6348051;799.106104;716.3581049;1264.019028;29819.5997;44876.72433
X276_13330;120.2158355;73.35327241;89.59873825;673.88076;2664.202793;2369.637966
X276_13325;215.5594292;168.5643381;294.7042836;1054.958359;6228.219847;7967.881426
X276_13320;94.82542197;74.09421456;100.393767;439.0076998;1711.229908;2277.811872
X276_13315;80.05752838;41.49276015;48.14582802;281.965897;825.7505575;1083.023198
X276_13310;1203.71287;58.90490057;39.07800391;74.67859884;92.87827247;77.65864017
X276_13305;2543.963984;163.3777431;79.88321242;117.2394889;241.3043221;209.3634961
X276_13300;2991.664337;208.9456851;106.2230825;146.007498;395.105963;322.1784126
X276_13295;2447.324961;214.1322801;178.9815759;134.776152;277.1415976;245.044493
X276_13290;118.1431487;110.4003797;107.0866848;195.6618698;379.5764769;243.9950519
X276_13285;417.9054799;494.9493533;482.7536837;484.130125;629.2428299;496.3856324
X276_13280;38.0856203;36.30616513;34.32819128;24.63014474;26.87795666;25.186586
X276_13275;389.1469503;480.1305103;491.8215078;402.5550856;315.3680249;292.7940623
X276_13270;213.4867424;57.05254521;52.24793893;134.1850285;142.7518143;191.5229977
X276_13265;29.53578717;14.44837184;9.283724686;33.10291453;40.91422292;50.373172
X276_13260;65.2896348;105.9547268;150.6986007;175.957754;173.2134985;111.2407548
